selection_strategy,selection_rank,row_id,sample_name,label_numeric,primary_probability,record_category,target_region_group,paired_light_status,confidence_bin,developability_risk_bin,has_structure,cluster_id
highest_score,59,2433,ADI-75627,1,0.9059500581017924,known_neutralising,RBD,paired,high,low,False,4
highest_score,60,6699,C616,1,0.9058962935575038,known_neutralising,RBD,paired,high,low,False,4
highest_score,61,8057,Fab1-20,1,0.9052387890411292,conflict_label,RBD,paired,high,low,False,
highest_score,62,6977,CAB-A49,1,0.9027835821209136,conflict_label,RBD,paired,high,medium,False,
highest_score,63,9865,WNb-1,1,0.9027828883012996,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,64,3405,BD56-313,1,0.9022908024209714,conflict_label,RBD,paired,high,medium,False,
highest_score,65,9874,WNb-20,1,0.902115360646638,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,66,669,ADI-62821,1,0.9012821175303712,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,67,1544,AZ203,1,0.9009354292744496,known_neutralising,RBD,paired,high,low,False,4
highest_score,68,2037,CC12.1,1,0.9007093487681253,conflict_label,RBD,paired,high,low,True,
highest_score,69,5834,C1398,1,0.9006242033299734,known_neutralising,RBD,paired,high,low,False,1
highest_score,70,2118,DH1154,1,0.9000383897839401,conflict_label,RBD,paired,high,low,False,
highest_score,71,6621,C522,1,0.8990799330270448,known_neutralising,RBD,paired,high,low,False,4
highest_score,72,9156,R568-1G9,1,0.8979102744445641,known_neutralising,RBD,paired,high,low,False,7
highest_score,73,10452,BD56-1198,1,0.8979099518163112,conflict_label,RBD,paired,high,low,False,
highest_score,74,6272,C2148,1,0.8978298256274253,known_neutralising,RBD,paired,high,low,False,3
highest_score,75,2013,LY-CoV481,1,0.8973729179063072,conflict_label,RBD,paired,high,low,True,
highest_score,76,2677,DXP-604,1,0.8954863522065857,conflict_label,RBD,paired,high,low,False,
highest_score,77,2181,COV2-2037,1,0.8954231985380773,conflict_label,RBD,paired,high,low,False,
highest_score,78,2254,CC25.40,0,0.8950695125319065,known_non_neutralising,RBD,paired,high,low,False,1
highest_score,79,7943,eCC12.1.6,1,0.8950219308031727,known_neutralising,RBD,paired,high,low,False,7
